root - 2021-10-11 12:49:46,913  - INFO - Epoch 0, acc: 31.810000, loss: 3.841222, aggregation_num: 8
root - 2021-10-11 12:51:20,995  - INFO - Epoch 1, acc: 50.560000, loss: 1.711320, aggregation_num: 8
root - 2021-10-11 12:52:56,040  - INFO - Epoch 2, acc: 54.510000, loss: 1.366081, aggregation_num: 8
root - 2021-10-11 12:54:32,337  - INFO - Epoch 3, acc: 56.890000, loss: 1.249708, aggregation_num: 8
root - 2021-10-11 12:56:09,209  - INFO - Epoch 4, acc: 59.310000, loss: 1.167962, aggregation_num: 8
root - 2021-10-11 12:57:44,601  - INFO - Epoch 5, acc: 61.160000, loss: 1.133034, aggregation_num: 8
root - 2021-10-11 12:59:19,399  - INFO - Epoch 6, acc: 63.660000, loss: 1.052744, aggregation_num: 8
root - 2021-10-11 13:00:53,938  - INFO - Epoch 7, acc: 65.230000, loss: 1.010586, aggregation_num: 8
root - 2021-10-11 13:02:28,810  - INFO - Epoch 8, acc: 65.150000, loss: 1.018928, aggregation_num: 8
root - 2021-10-11 13:04:04,214  - INFO - Epoch 9, acc: 66.250000, loss: 0.979194, aggregation_num: 8
root - 2021-10-11 13:05:39,103  - INFO - Epoch 10, acc: 67.450000, loss: 0.944373, aggregation_num: 8
root - 2021-10-11 13:07:13,724  - INFO - Epoch 11, acc: 68.030000, loss: 0.936599, aggregation_num: 8
root - 2021-10-11 13:08:49,546  - INFO - Epoch 12, acc: 68.910000, loss: 0.901238, aggregation_num: 8
root - 2021-10-11 13:10:24,954  - INFO - Epoch 13, acc: 69.840000, loss: 0.876036, aggregation_num: 8
root - 2021-10-11 13:11:59,645  - INFO - Epoch 14, acc: 70.210000, loss: 0.860656, aggregation_num: 8
root - 2021-10-11 13:13:34,720  - INFO - Epoch 15, acc: 70.520000, loss: 0.849443, aggregation_num: 8
root - 2021-10-11 13:15:09,837  - INFO - Epoch 16, acc: 70.860000, loss: 0.850202, aggregation_num: 8
root - 2021-10-11 13:16:45,374  - INFO - Epoch 17, acc: 70.660000, loss: 0.866181, aggregation_num: 8
root - 2021-10-11 13:18:20,207  - INFO - Epoch 18, acc: 71.640000, loss: 0.820043, aggregation_num: 8
root - 2021-10-11 13:19:55,310  - INFO - Epoch 19, acc: 72.170000, loss: 0.804178, aggregation_num: 8
